delaware
,wilmington
,,newark - christiana
,,,courtyard christiana mall,Courtyard Hotel Christiana Mall Newark (Delaware)
,,,courtyard university of delaware,Courtyard Hotel University Newark (Delaware)
,,,hilton,Hilton Hotel Christiana Newark (Delaware)
,,,residence inn,Residence Inn Wilmington Newark (Delaware)
,,,staybridge suites,Staybridge Suites Wilmington Newark (Delaware)
,,,homestead studio suites,Homestead Studio Suites Newark (Delaware)
,,,howard johnson,Howard Johnson Inn & Suites Newark (Delaware)

,,,Hotel Matched : 7,Hotel Not Matched : 1

,,claymont
,,,holiday inn select,Holiday Inn Select Wilmington Brandywine Claymont

,,,Hotel Matched : 1,Hotel Not Matched : 0

,,wilmington - brandywine
,,,sheraton suites,Sheraton Suites Wilmington (Delaware)
,,,doubletree downtown,Doubletree Hotel Downtown Wilmington (Delaware)
,,,courtyard brandywine,Courtyard Hotel Brandywine Wilmington (Delaware)
,,,doubletree wilmington,Doubletree Hotel Wilmington (Delaware)
,,,quality inn and suites,Quality Inn & Suites Wilmington (Delaware)

,,,Hotel Matched : 5,Hotel Not Matched : 1

,dover
,,,holiday inn downtown,Holiday Inn Downtown Dover (Delaware)
,,,country inn and suites,Country Inn & Suites Dover (Delaware)
,,,holiday inn express,Holiday Inn Express Hotel & Suites Dover (Delaware)
,,,days inn downtown,Days Inn Downtown Dover (Delaware)

,,,Hotel Matched : 4,Hotel Not Matched : 0


north dakota
,bismarck
,,,radisson,Radisson Hotel Bismarck
,,,fairfield inn south,Fairfield Inn & Suites South Bismarck

,,,Hotel Matched : 2,Hotel Not Matched : 0

,fargo
,,fargo
,,,holiday inn,Holiday Inn Fargo
,,,ramada plaza and suites,Ramada Plaza Suites Fargo
,,,hampton inn,Hampton Inn Fargo
,,,comfort inn east,Comfort Inn East Fargo
,,,comfort inn west fargo,Comfort Inn West Fargo
,,,comfort suites,Comfort Suites Fargo
,,,days inn west,Days Inn West Fargo
,,,econolodge,Econo Lodge Fargo
,,,fairfield inn,Fairfield Inn Fargo
,,,red river lodge,Red River Lodge Fargo
,,,super,Super 8 Motel Fargo

,,,Hotel Matched : 11,Hotel Not Matched : 2

,grand forks
,,,comfort inn,Comfort Inn Grand Forks
,,,fairfield inn,Fairfield Inn Grand Forks
,,,guesthouse inn,GuestHouse Grand Forks
,,,travelodge,Travelodge Hotel Grand Forks

,,,Hotel Matched : 4,Hotel Not Matched : 1

,minot
,,,fairfield inn,Fairfield Inn Minot

,,,Hotel Matched : 1,Hotel Not Matched : 0


washington
,ocean shores
,,ocean shores
,,,days inn,Days Inn Ocean Shores

,,,Hotel Matched : 1,Hotel Not Matched : 2

,bellingham
,,,best western lakeway inn,Best Western Lakeway Inn Bellingham
,,,holiday inn express,Holiday Inn Express Bellingham
,,,days inn,Days Inn Bellingham
,,,la quinta inn,La Quinta Inn Bellingham

,,,Hotel Matched : 4,Hotel Not Matched : 0

,spokane
,,downtown
,,,courtyard,Courtyard Hotel Spokane
,,,doubletree spokane city centre,Doubletree Hotel City Center Spokane
,,,red lion at the park,Red Lion Hotel At The Park Spokane
,,,red lion river inn,Red Lion River Inn Spokane
,,,holiday inn express,Holiday Inn Express Downtown Spokane
,,,fairbridge inn express,Fairbridge Inn Express Spokane
,,,ridpath hotel,Ridpath Hotel Spokane

,,,Hotel Matched : 7,Hotel Not Matched : 2

,,spokane valley
,,,mirabeau park hotel,Mirabeau Park Hotel Spokane
,,,holiday inn express,Holiday Inn Express Spokane
,,,la quinta,La Quinta Inn & Suites Spokane

,,,Hotel Matched : 3,Hotel Not Matched : 1

,,north
,,,apple tree inn,Apple Tree Inn Spokane

,,,Hotel Matched : 1,Hotel Not Matched : 0

,,airport geg

,,,Hotel Matched : 0,Hotel Not Matched : 1

,walla walla
,,,la quinta,La Quinta Inn Walla Walla

,,,Hotel Matched : 1,Hotel Not Matched : 0

,wenatchee - yakima
,,yakima
,,,clarion hotel,Clarion Hotel Yakima

,,,Hotel Matched : 1,Hotel Not Matched : 1

,,wenatchee
,,,coast wenatchee center hotel,Coast Center Hotel Wenatchee
,,,red lion wenatchee,Red Lion Hotel Wenatchee
