Red Lion|Coos Bay,Red Lion Hotel Coos Bay,1.0
Holiday Inn Express|Pacifica,Holiday Inn Express Hotel & Suites Pacifica,0.791666666667
Fairfield Inn|East Greenbush,Fairfield Inn Albany East Greenbush,0.787878787879
Crowne Plaza|Toledo,Crowne Plaza Hotel Toledo (Ohio),1.0
Hilton|Toledo,Hilton Hotel Toledo (Ohio),1.0
Park Inn Toledo|Toledo,Park Inn Toledo (Ohio),1.0
Fairfield Inn|Minot,Fairfield Inn Minot,1.0
Holiday Inn|Indiana,Holiday Inn Richmond (Indiana),1.0
Holiday Inn|Joplin,Holiday Inn Joplin,1.0
Holiday Inn Express|Joplin,Holiday Inn Joplin,0.733333333333
Courtyard at USC|Columbia,Courtyard Hotel Columbia (Missouri),0.72
Sheraton Downtown|Columbia,Hampton Inn Downtown Columbia,0.756756756757
Holiday Inn and Suites|Columbia,Holiday Inn Hotel & Suites Airport West Columbia,0.765957446809
Jameson Suites|Columbia,Jameson Inn Columbia (Tennessee),0.72
Extended StayAmerica Columbia West|Columbia,Extended Stay America Hotel Columbia (Missouri),0.851063829787
Holiday Inn Select|Columbia,Holiday Inn East Columbia (Missouri),0.823529411765
Country Inn and Suites|Columbia,Country Inn & Suites Columbia,0.947368421053
Courtyard|Columbia,Courtyard Hotel Columbia (Missouri),1.0
Residence Inn|Columbia,Residence Inn Columbia (Missouri),1.0
Baymont Inn|Columbia,Baymont Inn and Suites Columbia (Missouri),0.758620689655
Extended StayAmerica Stadium Blvd|Columbia,Extended Stay America Hotel Columbia (Missouri),0.740740740741
Ramada Inn|Columbia,Ramada Inn Columbia (Missouri),1.0
Jameson Inn|Trussville,Jameson Inn Trussville,1.0
Holiday Inn Express|Carpinteria,Holiday Inn Express Hotel & Suites Carpinteria,0.791666666667
Baymont Inn and Suites|Ennis,Baymont Inn And Suites Ennis (Texas),1.0
Hyatt Place|El Paso,Hyatt Place Hotel Airport El Paso,0.709677419355
Chase Suites|El Paso,Chase Suite Hotel El Paso,0.95652173913
Holiday Inn El Paso Airport|El Paso,Holiday Inn Airport El Paso,0.974358974359
Holiday Inn Express|El Paso,Holiday Inn Express Central El Paso,0.826086956522
La Quinta Lomaland|El Paso,La Quinta Inn Lomaland El Paso,0.9
Holiday Inn Sunland Park|El Paso,Holiday Inn Sunland Park El Paso,1.0
La Quinta Inn El Paso West|El Paso,La Quinta Inn West El Paso,0.972972972973
Studioplus West|El Paso,Studio Plus Hotel West El Paso,0.9375
Hilton|Atlanta,Hilton Hotel Atlanta,1.0
InterContinental|Atlanta,Intercontinental Hotel Buckhead Atlanta,0.761904761905
W Hotel Buckhead|Atlanta,Wingate Inn Buckhead Atlanta,0.709677419355
Hyatt Place Buckhead|Atlanta,Hyatt Place Hotel Buckhead Atlanta (Georgia),0.769230769231
Residence Inn Buckhead|Atlanta,Residence Inn Buckhead Atlanta (Georgia),0.8
Residence Inn Buckhead Lenox Park|Atlanta,Residence Inn Buckhead Lenox Park Atlanta (Georgia),0.857142857143
Hampton Inn|Atlanta,Hampton Inn Downtown Atlanta,0.709677419355
SpringHill Suites Buckhead|Atlanta,SpringHill Suites Buckhead Atlanta (Georgia),0.825396825397
