La Quinta|La Porte,La Quinta Inn Houston La Porte (Texas),0.6
Best Value Inn|La Porte,Best Western Inn La Porte (Texas),0.666666666667
Courtyard Toledo Airport Holland|Toledo,Comfort Inn Toledo (Ohio),0.378378378378
Quality Inn|Toledo,Days Inn Toledo (Ohio),0.631578947368
Residence Inn|Toledo,Classic Inn Toledo (Ohio),0.583333333333
Country Inn and Suites|Toledo,Quality Inn and Suites North Toledo (Ohio),0.666666666667
Staybridge Suites|Toledo,Fairfield Inn & Suites North Toledo (Ohio),0.488888888889
Fairfield Inn ToledoMaumee|Toledo,Fairfield Inn & Suites North Toledo (Ohio),0.666666666667
Courtyard Rossford|Toledo,Quality Inn and Suites North Toledo (Ohio),0.380952380952
Holiday Inn French Quarter|Toledo,Hampton Inn & Suites North Toledo (Ohio),0.461538461538
Country Inn and Suites|Toledo,Quality Inn and Suites North Toledo (Ohio),0.666666666667
Holiday Inn Express Toledo|Toledo,Days Inn Toledo (Ohio),0.518518518519
La Quinta|Toledo,Yaquina Bay Hotel Toledo (Oregon),0.6
Baymont not yet reported|Toledo,Hampton Inn & Suites North Toledo (Ohio),0.48
Marriott|Columbia,Marriott Hotel Columbia (South Carolina),0.457142857143
Hyatt Place Harbison|Columbia,Hilton Garden Inn Harbison Columbia,0.608695652174
La Quinta Inn NEFt Jackson not yet reported|Columbia,La Quinta Inn Maingate Fort Jackson Columbia (South Carolina),0.666666666667
Courtyard by Marriott|Columbia,Courtyard Hotel Columbia (Missouri),0.6
Embassy Suites|Columbia,Baymont Inn and Suites Columbia (Missouri),0.625
Radisson|Columbia,Ramada Inn Columbia (Missouri),0.555555555556
Residence Inn Stoneridge Dr|Columbia,Residence Inn Columbia (Missouri),0.65
Comfort Inn Bush River Road|Columbia,Comfort Inn Airport West Columbia,0.652173913043
Renaissance Airport Hotel|Columbia,Clarion Inn Airport Columbia,0.631578947368
Radisson Inn and Suites|El Paso,Hawthorn Inn & Suites El Paso,0.7
Doubletree|El Paso,Doubletree Hotel Downtown El Paso,0.666666666667
Marriott Atlanta Airport|Atlanta,Marriott Hotel Downtown Atlanta,0.685714285714
Renaissance Concourse|Atlanta,Renaissance Hotel Downtown Atlanta (Georgia),0.603773584906
Westin AIRPORT SOUTH|Atlanta,Wingate Inn Clairmont Road Atlanta,0.521739130435
Crowne Plaza AIRPORT NORTH|Atlanta,Crowne Plaza Hotel Perimeter Northwest Atlanta (Georgia),0.628571428571
Sheraton Gateway AIRPORT SOUTH|Atlanta,Travelodge Hotel Airport Atlanta,0.530612244898
Courtyard North Viginia Ave  International Blvd|Atlanta,Courtyard Hotel Vinings Atlanta (Georgia),0.552631578947
Courtyard South Sullivan Rd AIRPORT ATL SOUTH|Atlanta,Courtyard Hotel Cumberland Center Atlanta (Georgia),0.5
Courtyard West Creek Pointe Drive|Atlanta,Courtyard Hotel Perimeter Center Atlanta (Georgia),0.591549295775
Doubletree College ParkAirport|Atlanta,Travelodge Hotel Airport Atlanta,0.571428571429
Embassy Suites|Atlanta,Embassy Suites Perimeter Center Atlanta,0.622222222222
Hilton Garden Inn Airport AIRPORT ATL SOUTH|Atlanta,Hilton Garden Inn Downtown Atlanta,0.608695652174
Holiday Inn Select Airport South AIRPORT ATL SOUTH|Atlanta,Holiday Inn Select Capitol Atlanta (Georgia),0.620689655172
Hyatt Place Airport North|Atlanta,Hyatt Place Hotel Perimeter Center Atlanta,0.666666666667
Hyatt Place Airport South AIRPORT ATL SOUTH|Atlanta,Hyatt Place Hotel Buckhead Atlanta (Georgia),0.506666666667
Best Western Airport East AIRPORT ATL NORTH|Atlanta,Best Western Pineywoods Inn Atlanta (Texas),0.542857142857
Wyndham Garden Airport South AIRPORT ATL SOUTH|Atlanta,Wyndham Garden Hotel Downtown Atlanta (Georgia),0.543209876543
Radisson|Atlanta,Sheraton Hotel Atlanta,0.5
Clarion College Park not yet reported|Atlanta,Crowne Plaza Hotel Perimeter Northwest Atlanta (Georgia),0.469135802469
Country Inn and Suites South AIRPORT SOUTH|Atlanta,Country Inn & Suites Buckhead Atlanta (Georgia),0.615384615385
Fairfield Inn North|Atlanta,Fairfield Inn & Suites Vinings Atlanta (Georgia),0.566666666667
