Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
6143442603, NTY3MTUwMTg1NDo5NDA0ODYyNTA2Ng--, Houston Galleria| West University Place, suite|smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.0, 59.00, 27.28, 2, 145.28, 90, 4.0
5363506823, NTY3MTUwMTg1NDo5NDA0ODYyNTA2OQ--, Downtown Houston| Houston, restaurant(s)|high-speed internet access, 4.5, 84.00, 38.26, 2, 206.26, 95, 4.0
5146961621, NTY3MTUwMTg1NDo5NDA0ODYyNTExMw--, Houston Galleria| West University Place, smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 3.5, 51.00, 24.40, 2, 126.40, 80, 3.5
6730284825, NTY3MTUwMTg1NDo5NDA0ODYyNTA2MA--, Downtown Houston| Houston, fitness center|pool(s)|business center|high-speed internet access, 4.0, 84.00, 38.01, 2, 206.01, 90, 3.5
6939541405, NTY3MTUwMTg1NDo5NDA0ODYyNTA1NA--, Houston Galleria| West University Place, fitness center|business center, 3.0, 51.00, 24.40, 2, 126.40, 95, 
5159400360, NTY3MTUwMTg1NDo5NDA0ODYyNTA3NQ--, Downtown Houston| Houston, fitness center|restaurant(s)|business center, 3.5, 68.00, 30.23, 2, 166.23, 90, 3.5
6643995230, NTY3MTUwMTg1NDo5NDA0ODYyNTExMQ--, Houston Galleria| West University Place, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.5, 129.00, 53.62, 2, 311.62, 95, 4.0
6928645795, NTY3MTUwMTg1NDo5NDA0ODYyNTExNg--, Houston Galleria| West University Place, laundry facilities, 2.0, 36.00, 18.47, 2, 90.47, 80, 
5354950816, NTY3MTUwMTg1NDo5NDA0ODYyNTA3MQ--, Aldine - Bush Ictl Airport IAH| Humble, smoke free rooms|airport shuttle|fitness center|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access|golf nearby, 3.5, 47.00, 23.17, 2, 117.17, 90, 3.0
6704369990, NTY3MTUwMTg1NDo5NDA0ODYwODQ5OQ--, NW Houston - Brookhollow| Spring Valley, smoke free rooms|fitness center|pool(s)|restaurant(s)|laundry facilities|high-speed internet access|golf nearby, 3.5, 53.00, 25.23, 2, 131.23, 95, 3.5
