Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
5755190104, NTY3MTYxMDUzNjo5NDA1NjM5MTYwMg--, Houston Galleria| West University Place, suite|smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.0, 59.00, 49.76, 4, 285.76, 90, 4.0
5588671104, NTY3MTYxMDUzNjo5NDA1NjM5MTYwNQ--, Downtown Houston| Houston, restaurant(s)|high-speed internet access, 4.5, 84.00, 67.01, 4, 403.01, 95, 4.0
6808244955, NTY3MTYxMDUzNjo5NDA1NjM5MTY0OQ--, Houston Galleria| West University Place, smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 3.5, 51.00, 44.01, 4, 248.01, 80, 3.5
6273102398, NTY3MTYxMDUzNjo5NDA1NjM5MTYxMQ--, Downtown Houston| Houston, fitness center|restaurant(s)|business center, 3.5, 65.00, 53.38, 4, 313.38, 90, 3.5
5931091442, NTY3MTYxMDUzNjo5NDA1NjM4NTA5Ng--, Downtown Houston| Houston, fitness center|pool(s)|business center|high-speed internet access, 4.0, 94.00, 73.58, 4, 449.58, 95, 
5771794453, NTY3MTYxMDUzNjo5NDA1NjM4NTA5MA--, Houston Galleria| West University Place, boutique hotel|fitness center|restaurant(s)|business center|high-speed internet access, 3.0, 63.00, 52.66, 4, 304.66, 95, 4.0
6525983081, NTY3MTYxMDUzNjo5NDA1NjM5MTY0MQ--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|tennis nearby, 4.0, 62.00, 51.69, 4, 299.69, 95, 4.0
5430553731, NTY3MTYxMDUzNjo5NDA1NjM5MTY1Mg--, Houston Galleria| West University Place, laundry facilities, 2.0, 36.00, 31.80, 4, 175.80, 80, 
6215140806, NTY3MTYxMDUzNjo5NDA1NjM4NTA4NQ--, NW Houston - Brookhollow| Spring Valley, smoke free rooms|fitness center|pool(s)|restaurant(s)|laundry facilities|high-speed internet access|golf nearby, 3.5, 53.00, 45.65, 4, 257.65, 95, 3.5
6047149412, NTY3MTYxMDUzNjo5NDA1NjM4NTA5OA--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|restaurant(s)|golf nearby, 3.0, 53.00, 45.65, 4, 257.65, 85, 3.5
6346489704, NTY3MTYxMDUzNjo5NDA1NjM5MTYxMw--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s), 3.0, 41.00, 37.43, 4, 201.43, 95, 
5706155760, NTY3MTYxMDUzNjo5NDA1NjM5MTY0Mw--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|business center|high-speed internet access, 3.0, 41.00, 37.43, 4, 201.43, 95, 
5513533326, NTY3MTYxMDUzNjo5NDA1NjM4NTA5Nw--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|laundry facilities, 2.5, 41.00, 37.43, 4, 201.43, 75, 3.0
5305526771, NTY3MTYxMDUzNjo5NDA1NjM5MTYwNw--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|tennis nearby, 3.5, 54.00, 46.47, 4, 262.47, 90, 4.0
5836910891, NTY3MTYxMDUzNjo5NDA1NjM5MTY1OA--, NW Houston - Brookhollow| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|laundry facilities, 3.0, 47.00, 41.15, 4, 229.15, 95, 4.0
6037911454, NTY3MTYxMDUzNjo5NDA1NjM5MTY0Ng--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 3.5, 54.00, 46.47, 4, 262.47, 90, 4.0
5611626761, NTY3MTYxMDUzNjo5NDA1NjM5MTY0Nw--, Houston Galleria| West University Place, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.5, 227.00, 164.78, 4, 1072.78, 95, 4.5
6578107845, NTY3MTYxMDUzNjo5NDA1NjM4NTA5OQ--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|golf nearby, 3.5, 86.00, 67.83, 4, 411.83, 50, 3.0
5876315790, NTY3MTYxMDUzNjo5NDA1NjM5MTYzMA--, SW Houston - Sugar Land| Sugar Land, fitness center|pool(s)|restaurant(s)|laundry facilities|golf nearby, 3.0, 41.00, 37.43, 4, 201.43, 80, 3.5
6874922515, NTY3MTYxMDUzNjo5NDA1NjM5MTY2OA--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast|pool(s)|high-speed internet access, 3.0, 48.00, 42.36, 4, 234.36, 65, 
5037616581, NTY3MTYxMDUzNjo5NDA1NjM5MTYxNA--, Houston West - Energy Corridor| Spring Valley, laundry facilities, 2.0, 29.00, 26.87, 4, 142.87, 75, 
5916319981, NTY3MTYxMDUzNjo5NDA1NjM5MTYyMQ--, Aldine - Bush Ictl Airport IAH| Humble, high-speed internet access, 2.5, 39.00, 35.79, 4, 191.79, , 
5007955150, NTY3MTYxMDUzNjo5NDA1NjM5MTY1Ng--, NW Houston - Brookhollow| Spring Valley, suite|fitness center|kitchenette, 2.0, 32.00, 28.51, 4, 156.51, 65, 
5678876880, NTY3MTYxMDUzNjo5NDA1NjM5MTYxMA--, Houston West - Energy Corridor| Spring Valley, laundry facilities|high-speed internet access, 2.5, 41.00, 37.43, 4, 201.43, 85, 
6492850952, NTY3MTYxMDUzNjo5NDA1NjM5MTYzNA--, Washington Ave| Houston, complimentary breakfast, 2.0, 40.00, 36.57, 4, 196.57, , 2.5
5205648929, NTY3MTYxMDUzNjo5NDA1NjM4NTEwMA--, Medical Center - Astrodome| VA Hospital, laundry facilities, 2.0, 42.00, 38.26, 4, 206.26, , 
5485100730, NTY3MTYxMDUzNjo5NDA1NjM5MTYwNg--, NW Houston - Brookhollow| Spring Valley, fitness center|pool(s)|laundry facilities, 2.5, 41.00, 37.05, 4, 201.05, 55, 
5774726787, NTY3MTYxMDUzNjo5NDA1NjM5MTY0MA--, Channelview| Channelview, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 48.00, 42.36, 4, 234.36, 85, 4.0
6135893561, NTY3MTYxMDUzNjo5NDA1NjM5MTYzOA--, SW Houston - Sugar Land| Sugar Land, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 39.00, 35.79, 4, 191.79, 75, 3.5
6553396228, NTY3MTYxMDUzNjo5NDA1NjM5MTYzMg--, Aldine - Bush Ictl Airport IAH| Humble, pool(s)|laundry facilities, 2.0, 30.00, 27.69, 4, 147.69, 45, 
5441910275, NTY3MTYxMDUzNjo5NDA1NjM5MTY2MQ--, Willowbrook - Cypress Station| North Houston, laundry facilities, 2.0, 29.00, 26.87, 4, 142.87, 85, 
5895875206, NTY3MTYxMDUzNjo5NDA1NjM5MTY1MQ--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 2.5, 48.00, 42.36, 4, 234.36, , 4.0
6226418293, NTY3MTYxMDUzNjo5NDA1NjM5MTYwNA--, Houston Hobby Airport HOU| South Houston, , 2.0, 35.00, 43.54, 4, 183.54, 35, 
5726759985, NTY3MTYxMDUzNjo5NDA1NjM5MTY1MA--, Baytown| Baytown, complimentary breakfast|fitness center|pool(s)|laundry facilities, 3.0, 42.00, 39.06, 4, 207.06, 80, 3.5
6569202936, NTY3MTYxMDUzNjo5NDA1NjM4NTA4NA--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast, 2.0, 39.00, 35.79, 4, 191.79, 55, 
6585248211, NTY3MTYxMDUzNjo5NDA1NjM5MTYxNg--, SW Houston - Sugar Land| Sugar Land, high-speed internet access, 2.0, 34.00, 30.06, 4, 166.06, 60, 
5083981908, NTY3MTYxMDUzNjo5NDA1NjM5MTYzMw--, SW Houston - Sugar Land| Sugar Land, suite|smoke free rooms|fitness center|pool(s)|high-speed internet access, 3.5, 92.00, 72.33, 4, 440.33, 90, 4.5
5302434248, NTY3MTYxMDUzNjo5NDA1NjM5MTYzNg--, Clear Lake - NASA Space Center - Kemah| Nassau Bay, pool(s)|restaurant(s), 3.0, 54.00, 42.44, 4, 258.44, 95, 
6637357788, NTY3MTYxMDUzNjo5NDA1NjM4NTA5Mw--, Pasadena| Pasadena, fitness center|business center|laundry facilities|high-speed internet access, 3.0, 72.00, 58.80, 4, 346.80, , 3.5
6720227177, NTY3MTYxMDUzNjo5NDA1NjM5MTY1Mw--, Willowbrook - Cypress Station| North Houston, fitness center|pool(s)|business center|laundry facilities, 3.0, 66.00, 54.30, 4, 318.30, 90, 
6119478700, NTY3MTYxMDUzNjo5NDA1NjM5MTYzNQ--, Cyfair| Jersey Village, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 39.00, 34.36, 4, 190.36, 75, 3.5
6447939619, NTY3MTYxMDUzNjo5NDA1NjM4NTA4Mw--, Pearland| Pearland, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 78.00, 60.25, 4, 372.25, 95, 4.0
6342584273, NTY3MTYxMDUzNjo5NDA1NjM5MTY2NQ--, Willowbrook - Cypress Station| North Houston, fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 2.5, 55.00, 42.83, 4, 262.83, 95, 
6504489158, NTY3MTYxMDUzNjo5NDA1NjM5MTYxNQ--, Clear Lake - NASA Space Center - Kemah| Nassau Bay, , 2.0, 34.00, 30.15, 4, 166.15, 75, 
5579237123, NTY3MTYxMDUzNjo5NDA1NjM4NTA5NQ--, Pasadena| Pasadena, complimentary breakfast|pool(s)|high-speed internet access, 2.0, 50.00, 32.67, 4, 232.67, , 3.5
5582144814, NTY3MTYxMDUzNjo5NDA1NjM5MTY2Nw--, Baytown| Baytown, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 41.00, 37.05, 4, 201.05, 70, 3.5
5540872510, NTY3MTYxMDUzNjo5NDA1NjM4NTA5Mg--, Pasadena| Pasadena, complimentary breakfast|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 2.5, 67.00, 54.88, 4, 322.88, , 4.0
5921716745, NTY3MTYxMDUzNjo5NDA1NjM5MTY0NA--, Atascocita| Atascocita, high-speed internet access, 3.0, 70.00, 46.76, 4, 326.76, , 
5559443447, NTY3MTYxMDUzNjo5NDA1NjM5MTYyOA--, Pearland| Pearland, complimentary breakfast|high-speed internet access, 2.5, 68.00, 48.04, 4, 320.04, , 
5536100253, NTY3MTYxMDUzNjo5NDA1NjM5MTYyOQ--, La Porte| La Porte, high-speed internet access, 2.0, 39.00, 35.79, 4, 191.79, 70, 
5923988641, NTY3MTYxMDUzNjo5NDA1NjM5MTY2Mw--, Deer Park| Deer Park, complimentary breakfast, 2.0, 42.00, 38.59, 4, 206.59, , 4.0
6769878705, NTY3MTYxMDUzNjo5NDA1NjM5MTY1NA--, Deer Park| Deer Park, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 76.00, 66.19, 4, 370.19, , 3.5
5071599761, NTY3MTYxMDUzNjo5NDA1NjM5MTYyNg--, League City - Dickinson| League City, complimentary breakfast, 2.0, 35.00, 24.68, 4, 164.68, , 3.0
6198768926, NTY3MTYxMDUzNjo5NDA1NjM5MTY0Mg--, Channelview| Channelview, , 2.0, 45.00, 43.96, 4, 223.96, , 
5870348077, NTY3MTYxMDUzNjo5NDA1NjM5MTYwOQ--, Houston West - Energy Corridor| Spring Valley, , 1.0, 36.00, 31.31, 4, 175.31, , 
6361008294, NTY3MTYxMDUzNjo5NDA1NjM5MTYyMA--, Aldine - Bush Ictl Airport IAH| Humble, , 1.0, 36.00, 31.75, 4, 175.75, , 
5995526140, NTY3MTYxMDUzNjo5NDA1NjM5MTY1Nw--, NW Houston - Brookhollow| Spring Valley, complimentary breakfast|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 1.0, 37.00, 37.43, 4, 185.43, , 3.0
5636933834, NTY3MTYxMDUzNjo5NDA1NjM5MTYzOQ--, Clear Lake - NASA Space Center - Kemah| Nassau Bay, fitness center|business center|high-speed internet access, 2.5, 65.00, 49.03, 4, 309.03, , 4.5
5244419861, NTY3MTYxMDUzNjo5NDA1NjM4NTA4Nw--, Alvin| Alvin, fitness center|pool(s)|business center|high-speed internet access, 2.5, 57.00, 37.84, 4, 265.84, , 4.5
6809379320, NTY3MTYxMDUzNjo5NDA1NjM5MTY2MA--, Baytown| Baytown, complimentary breakfast|high-speed internet access, 2.0, 42.00, 41.50, 4, 209.50, , 
6011336565, NTY3MTYxMDUzNjo5NDA1NjM4NTA4OQ--, East Houston - Cloverleaf| Jacinto City, pool(s), 1.0, 39.00, 35.60, 4, 191.60, , 
5895189872, NTY3MTYxMDUzNjo5NDA1NjM5MTYyMg--, SW Houston - Sugar Land| Sugar Land, complimentary breakfast, 1.0, 37.00, 49.87, 4, 197.87, , 0.0
6977886526, NTY3MTYxMDUzNjo5NDA1NjM5MTY1OQ--, Willowbrook - Cypress Station| North Houston, complimentary breakfast|pool(s)|business center, 1.0, 43.00, 35.85, 4, 207.85, , 3.5
