facility_id	facility	type
1	Business Center	1
2	Room Service	1
3	High-speed Internet	2
4	Fitness Room/Gym	1
5	Restaurant	1
6	Parking	1
7	Swimming pool	1
8	Pet Friendly	1
9	Airport shuttle	1
10	Disabled Access	3
11	Concierge	1
12	Valet Parking	1
13	Tour Desk	1
14	Massage / Beauty Centre	1
15	Bar / Lounge	1
17	Elevator / Lift	1
18	24 Hour Reception	1
19	Dry Cleaning	1
20	Babysitting / Child Services	1
21	Air Conditioned	2
22	Non-Smoking Rooms	1
23	Tennis Courts	4
24	Convention Center	1
27	Golf Course	4
28	Housekeeping	1
29	Banquet Facilities	1
30	Conference Room(s)	1
31	Currency Exchange	1
32	Medical Assistance Available	1
33	Multilingual Staff	1
34	Safe-Deposit Box	2
35	Sauna	1
36	Security Guard	1
37	News Stand	1
38	ATM / Cash Machine	1
39	Mini Bar	2
40	Refrigerator	2
41	Cable / Satellite TV	2
42	Secretarial Service	1
43	In Room Movies	2
44	Connecting Rooms	2
45	Bath / Hot Tub	2
46	Porters	1
47	Wake-up Service	2
48	Florist	1
49	Meeting Rooms	1
50	Kitchenette	2
51	Coffee / Tea Maker	2
52	Microwave	2
53	Hair Dryer	2
54	Complimentary Toiletries	2
55	Modem / Data Port	2
56	TV	2
57	CD Player	2
58	DVD Player	2
59	Private beach	4
60	Laundry service	1
61	Spa bath / Jacuzzi	1
62	Bicycle Rental	4
63	Casino	4
64	Shops	1
65	Excursions	4
66	Garden	4
67	Golf Course (on site)	4
68	Golf Course (nearby)	4
69	Squash Courts	4
70	Water Sports (motorized)	4
71	Water Sports (non-motorized)	4
72	Beach (Direct Access)	4
73	Beach (Nearby)	4
74	Boating	4
75	Dog Racing	4
78	Gym off-site	4
79	Jet-Ski	4
80	Mountain Biking	4
81	Nature Trail	4
82	Scuba Diving	4
83	Skating Rink	4
84	Walking	4
85	Windsurfing	4
86	Cycling	4
87	Fine Dining	1
88	Football Field	4
89	Horse Racing	4
90	Karaoke	4
91	Mountain Climbing	4
92	Nightclubs	4
94	Shopping (outlet)	4
95	Tennis Courts (indoor)	4
96	Water Activities	4
97	Wine Tasting	4
98	Billiards	4
99	Dart Board	4
100	Fishing	4
102	Golf (miniature)	4
103	Horse Riding	4
104	Playground	4
105	Cricket Pitch	4
106	Dancing	4
107	Bowling Alley	4
108	Volleyball	4
109	Tennis Courts (outdoor)	4
110	Rock Climbing	4
