facility_id	facility	type
15	Has24HourSecurity	1
16	HasAirConditioning	2
17	HasAirportTransportation	1
18	HasBusinessCenter	1
19	HasCarRentDesk	1
20	HasChildrenAllowed	1
21	HasClothingIron	2
22	HasCoffeeTeaMaker	2
23	HasCombination	2
24	HasContinentalBreakfast	1
25	HasDataPorts	2
26	HasDryCleaning	1
27	HasElectronicRoomKeys	2
28	HasExteriorRoomEntrance	2
29	HasFamilyRooms	1
30	HasFitnessFacility	1
31	HasGameRoom	1
32	HasGolfCourse	1
33	HasHairDryer	2
34	HasHandicapAccessible	3
35	HasIndoorPool	1
36	HasInHouseBar	1
37	HasInHouseDining	1
38	HasInRoomMovies	2
39	HasInteriorRoomEntrance	2
40	HasKitchen	2
41	HasMap	1
42	HasMeetingRooms	1
43	HasMiniBarInRoom	1
44	HasNonSmokingRooms	1
45	HasOutdoorPool	1
46	HasParkingGarage	1
47	HasPetsAllowed	1
48	HasRestrictedAccess	3
49	HasRoomService	2
50	HasSafe	2
51	HasSauna	1
52	HasTennisCourt	1
53	HasTVInRoom	2
54	HasValetParking	1
55	HasVideoCheckOut	1
56	HasVoiceMail	2
57	HasWakeUpService	2
58	HasWhirlpool	2
